#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Running","AdobeUpdateService","AdobeUpdateService",
"Running","Appinfo","Application Information",
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder",
"Running","Audiosrv","Windows Audio",
"Running","BFE","Base Filtering Engine",
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service",
"Running","BthAvctpSvc","AVCTP service",
"Running","camsvc","Capability Access Manager Service",
"Running","cbdhsvc_624b9","cbdhsvc_624b9",
"Running","CDPSvc","Connected Devices Platform Service",
"Running","CDPUserSvc_624b9","CDPUserSvc_624b9",
"Running","CertPropSvc","Certificate Propagation",
"Running","chromoting","Chrome Remote Desktop Service",
"Running","ClickToRunSvc","Microsoft Office Click-to-Run Service",
"Running","client_service","VMware Horizon Client",
"Running","CoreMessagingRegistrar","CoreMessaging",
"Running","CryptSvc","Cryptographic Services",
"Running","DcomLaunch","DCOM Server Process Launcher",
"Running","DeviceAssociationService","Device Association Service",
"Running","Dhcp","DHCP Client",
"Running","DiagTrack","Connected User Experiences and Telemetry",
"Running","DispBrokerDesktopSvc","Display Policy Service",
"Running","Dnscache","DNS Client",
"Running","DoSvc","Delivery Optimization",
"Running","DPS","Diagnostic Policy Service",
"Running","DusmSvc","Data Usage",
"Running","ekrn","ESET Service",
"Running","ekrnEpfw","ESET Firewall Helper",
"Running","EventLog","Windows Event Log",
"Running","EventSystem","COM+ Event System",
"Running","fdPHost","Function Discovery Provider Host",
"Running","FDResPub","Function Discovery Resource Publication",
"Running","FontCache","Windows Font Cache Service",
"Running","ftnlsv3hv","VMware Netlink Supervisor Service",
"Running","ftscanmgrhv","VMware Scanner Redirection Client",
"Running","hidserv","Human Interface Device Service",
"Running","hns","Host Network Service",
"Running","HvHost","HV Host Service",
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules",
"Running","InstallService","Microsoft Store Install Service",
"Running","iphlpsvc","IP Helper",
"Running","KeyIso","CNG Key Isolation",
"Running","LanmanServer","Server",
"Running","LanmanWorkstation","Workstation",
"Running","lfsvc","Geolocation Service",
"Running","LGHUBUpdaterService","LGHUB Updater Service",
"Running","LicenseManager","Windows License Manager Service",
"Running","lmhosts","TCP/IP NetBIOS Helper",
"Running","LSM","Local Session Manager",
"Running","LxssManager","LxssManager",
"Running","mpssvc","Windows Defender Firewall",
"Running","NcbService","Network Connection Broker",
"Running","NcdAutoSetup","Network Connected Devices Auto-Setup",
"Running","Netman","Network Connections",
"Running","netprofm","Network List Service",
