#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Stopped","AarSvc_624b9","AarSvc_624b9",
"Running","AdobeUpdateService","AdobeUpdateService",
"Stopped","AJRouter","AllJoyn Router Service",
"Stopped","ALG","Application Layer Gateway Service",
"Stopped","AppIDSvc","Application Identity",
"Running","Appinfo","Application Information",
"Stopped","AppMgmt","Application Management",
"Stopped","AppReadiness","App Readiness",
"Stopped","AppVClient","Microsoft App-V Client",
"Running","AppXSvc","AppX Deployment Service (AppXSVC)",
"Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service",
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder",
"Running","Audiosrv","Windows Audio",
"Stopped","autotimesvc","Cellular Time",
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)",
"Stopped","BcastDVRUserService_624b9","BcastDVRUserService_624b9",
"Stopped","BDESVC","BitLocker Drive Encryption Service",
"Running","BFE","Base Filtering Engine",
"Stopped","BITS","Background Intelligent Transfer Service",
"Stopped","BluetoothUserService_624b9","BluetoothUserService_624b9",
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service",
"Stopped","BTAGService","Bluetooth Audio Gateway Service",
"Running","BthAvctpSvc","AVCTP service",
"Stopped","bthserv","Bluetooth Support Service",
"Running","camsvc","Capability Access Manager Service",
"Stopped","CaptureService_624b9","CaptureService_624b9",
"Running","cbdhsvc_624b9","cbdhsvc_624b9",
"Running","CDPSvc","Connected Devices Platform Service",
"Running","CDPUserSvc_624b9","CDPUserSvc_624b9",
"Running","CertPropSvc","Certificate Propagation",
"Running","chromoting","Chrome Remote Desktop Service",
"Running","ClickToRunSvc","Microsoft Office Click-to-Run Service",
"Running","client_service","VMware Horizon Client",
"Stopped","ClipSVC","Client License Service (ClipSVC)",
"Stopped","cloudidsvc","Microsoft Cloud Identity Service",
"Stopped","COMSysApp","COM+ System Application",
"Stopped","ConsentUxUserSvc_624b9","ConsentUxUserSvc_624b9",
"Running","CoreMessagingRegistrar","CoreMessaging",
"Stopped","CredentialEnrollmentManagerUserSvc_624b9","CredentialEnrollmentManagerUserSvc_624b9",
"Running","CryptSvc","Cryptographic Services",
"Stopped","CscService","Offline Files",
"Running","DcomLaunch","DCOM Server Process Launcher",
"Stopped","defragsvc","Optimize drives",
"Stopped","DeviceAssociationBrokerSvc_624b9","DeviceAssociationBrokerSvc_624b9",
"Running","DeviceAssociationService","Device Association Service",
"Stopped","DeviceInstall","Device Install Service",
"Stopped","DevicePickerUserSvc_624b9","DevicePickerUserSvc_624b9",
"Stopped","DevicesFlowUserSvc_624b9","DevicesFlowUserSvc_624b9",
"Stopped","DevQueryBroker","DevQuery Background Discovery Broker",
"Running","Dhcp","DHCP Client",
"Stopped","diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service",
"Stopped","diagsvc","Diagnostic Execution Service",
"Running","DiagTrack","Connected User Experiences and Telemetry",
"Stopped","DialogBlockingService","DialogBlockingService",
"Running","DispBrokerDesktopSvc","Display Policy Service",
"Stopped","DisplayEnhancementService","Display Enhancement Service",
"Stopped","DmEnrollmentSvc","Device Management Enrollment Service",
"Stopped","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service",
"Running","Dnscache","DNS Client",
"Running","DoSvc","Delivery Optimization",
"Stopped","dot3svc","Wired AutoConfig",
"Running","DPS","Diagnostic Policy Service",
"Stopped","DsmSvc","Device Setup Manager",
"Stopped","DsSvc","Data Sharing Service",
"Running","DusmSvc","Data Usage",
"Stopped","Eaphost","Extensible Authentication Protocol",
"Stopped","edgeupdate","Microsoft Edge Update Service (edgeupdate)",
"Stopped","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)",
"Stopped","EFS","Encrypting File System (EFS)",
"Running","ekrn","ESET Service",
"Running","ekrnEpfw","ESET Firewall Helper",
"Stopped","embeddedmode","Embedded Mode",
"Stopped","EntAppSvc","Enterprise App Management Service",
"Running","EventLog","Windows Event Log",
"Running","EventSystem","COM+ Event System",
"Stopped","Fax","Fax",
"Running","fdPHost","Function Discovery Provider Host",
"Running","FDResPub","Function Discovery Resource Publication",
"Stopped","fhsvc","File History Service",
"Running","FontCache","Windows Font Cache Service",
"Stopped","FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0",
"Stopped","FrameServer","Windows Camera Frame Server",
"Running","ftnlsv3hv","VMware Netlink Supervisor Service",
"Running","ftscanmgrhv","VMware Scanner Redirection Client",
"Stopped","FvSvc","NVIDIA FrameView SDK service",
"Stopped","GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)",
"Stopped","gpsvc","Group Policy Client",
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc",
"Stopped","gupdate","Google Update Service (gupdate)",
"Stopped","gupdatem","Google Update Service (gupdatem)",
"Running","hidserv","Human Interface Device Service",
"Running","hns","Host Network Service",
"Running","HvHost","HV Host Service",
"Stopped","icssvc","Windows Mobile Hotspot Service",
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules",
"Running","InstallService","Microsoft Store Install Service",
"Running","iphlpsvc","IP Helper",
"Stopped","IpxlatCfgSvc","IP Translation Configuration Service",
"Running","KeyIso","CNG Key Isolation",
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator",
"Running","LanmanServer","Server",
"Running","LanmanWorkstation","Workstation",
"Running","lfsvc","Geolocation Service",
"Running","LGHUBUpdaterService","LGHUB Updater Service",
"Running","LicenseManager","Windows License Manager Service",
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper",
"Running","lmhosts","TCP/IP NetBIOS Helper",
"Running","LSM","Local Session Manager",
"Stopped","LxpSvc","Language Experience Service",
"Running","LxssManager","LxssManager",
"Stopped","LxssManagerUser_624b9","LxssManagerUser_624b9",
"Stopped","MapsBroker","Downloaded Maps Manager",
"Stopped","McpManagementService","McpManagementService",
"Stopped","MessagingService_624b9","MessagingService_624b9",
"Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)",
"Stopped","MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service",
"Stopped","MozillaMaintenance","Mozilla Maintenance Service",
"Running","mpssvc","Windows Defender Firewall",
"Stopped","MSDTC","Distributed Transaction Coordinator",
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service",
"Stopped","msiserver","Windows Installer",
"Stopped","MsKeyboardFilter","Microsoft Keyboard Filter",
"Stopped","NaturalAuthentication","Natural Authentication",
"Stopped","NcaSvc","Network Connectivity Assistant",
