#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\CoverLetters\the-cover-letter.docx","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\CoverLetters","the-cover-letter.docx","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\CoverLetters\the-cover-letter.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","the-cover-letter","System.Collections.Generic.List`1[System.String]",,"the-cover-letter.docx","22892","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\CoverLetters","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\CoverLetters","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\CoverLetters\the-cover-letter.docx",".docx","11/20/22 17:39:46","11/20/22 22:39:46","11/20/22 21:53:44","11/21/22 02:53:44","01/22/17 21:22:40","01/23/17 02:22:40","Archive"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\2010AdoptedScienceStandards.pdf","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","2010AdoptedScienceStandards.pdf","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\2010AdoptedScienceStandards.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","2010AdoptedScienceStandards","System.Collections.Generic.List`1[System.String]",,"2010AdoptedScienceStandards.pdf","528847","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\2010AdoptedScienceStandards.pdf",".pdf","11/20/22 17:39:47","11/20/22 22:39:47","11/20/22 21:53:44","11/21/22 02:53:44","07/14/16 08:53:06","07/14/16 12:53:06","Archive"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\cle-other-science.pdf","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","cle-other-science.pdf","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\cle-other-science.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","cle-other-science","System.Collections.Generic.List`1[System.String]",,"cle-other-science.pdf","491735","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\cle-other-science.pdf",".pdf","11/20/22 17:39:47","11/20/22 22:39:47","11/20/22 21:53:44","11/21/22 02:53:44","07/14/16 08:52:46","07/14/16 12:52:46","Archive"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\K-12_Science_Performance_Expectations_v5_496901_7.pdf","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","K-12_Science_Performance_Expectations_v5_496901_7.pdf","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\K-12_Science_Performance_Expectations_v5_496901_7.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","K-12_Science_Performance_Expectations_v5_496901_7","System.Collections.Generic.List`1[System.String]",,"K-12_Science_Performance_Expectations_v5_496901_7.pdf","1017137","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\K-12_Science_Performance_Expectations_v5_496901_7.pdf",".pdf","11/20/22 17:39:47","11/20/22 22:39:47","11/20/22 21:53:44","11/21/22 02:53:44","07/14/16 08:52:54","07/14/16 12:52:54","Archive"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\nssmic15.docx","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","nssmic15.docx","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\nssmic15.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","nssmic15","System.Collections.Generic.List`1[System.String]",,"nssmic15.docx","71009","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\nssmic15.docx",".docx","11/20/22 17:39:47","11/20/22 22:39:47","11/20/22 21:53:44","11/21/22 02:53:44","07/14/16 11:02:04","07/14/16 15:02:04","Archive"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014","System.Collections.Generic.List`1[System.String]",,"South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","1167470","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf",".pdf","11/20/22 17:39:47","11/20/22 22:39:47","11/20/22 21:53:44","11/21/22 02:53:44","07/14/16 09:46:12","07/14/16 13:46:12","Archive"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\stds_scienceKinder.pdf","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","stds_scienceKinder.pdf","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\stds_scienceKinder.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","stds_scienceKinder","System.Collections.Generic.List`1[System.String]",,"stds_scienceKinder.pdf","61430","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Sciences\stds_scienceKinder.pdf",".pdf","11/20/22 17:39:47","11/20/22 22:39:47","11/20/22 21:53:44","11/21/22 02:53:44","07/14/16 08:49:38","07/14/16 12:49:38","Archive"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates\APA-Citation-Work-Cited1.docx","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates","APA-Citation-Work-Cited1.docx","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates\APA-Citation-Work-Cited1.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","APA-Citation-Work-Cited1","System.Collections.Generic.List`1[System.String]",,"APA-Citation-Work-Cited1.docx","49920","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates\APA-Citation-Work-Cited1.docx",".docx","11/20/22 17:39:47","11/20/22 22:39:47","11/20/22 21:53:44","11/21/22 02:53:44","07/14/16 11:01:46","07/14/16 15:01:46","Archive"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates\Microsoft-Word-Trifold-Brochure-Template.docx","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates","Microsoft-Word-Trifold-Brochure-Template.docx","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates\Microsoft-Word-Trifold-Brochure-Template.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft-Word-Trifold-Brochure-Template","System.Collections.Generic.List`1[System.String]",,"Microsoft-Word-Trifold-Brochure-Template.docx","79583","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates\Microsoft-Word-Trifold-Brochure-Template.docx",".docx","11/20/22 17:39:47","11/20/22 22:39:47","11/20/22 21:53:44","11/21/22 02:53:44","07/14/16 11:01:48","07/14/16 15:01:48","Archive"
"Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates\rgo_template.docx","Microsoft.PowerShell.Core\FileSystem::E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates","rgo_template.docx","E","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates\rgo_template.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","rgo_template","System.Collections.Generic.List`1[System.String]",,"rgo_template.docx","8362477","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates","False","True","E:\Repositories\SYS320-Automation-Scripting\Week13\class\Documents\Documents\Templates\rgo_template.docx",".docx","11/20/22 17:39:47","11/20/22 22:39:47","11/20/22 21:53:44","11/21/22 02:53:44","07/14/16 11:01:40","07/14/16 15:01:40","Archive"
